Country	Code	continent	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Afghanistan	AFG	Asia	92.4	90.2	88	85.7	83.4	80.9	78.4	75.8	73.2	70.6	68.1	65.6	63.2	60.9	58.7	56.7	54.9	53.2	51.5
Albania	ALB	Europe	23.2	21.8	20.4	19.1	17.8	16.6	15.4	14.3	13.3	12.3	11.5	10.7	10.1	9.5	9	8.6	8.3	8.1	7.8
Algeria	DZA	Africa	34.4	33.9	33.3	32.4	31.3	30.1	28.8	27.5	26.4	25.3	24.3	23.5	22.9	22.4	22.1	21.8	21.4	21	20.6
Andorra	AND	Europe	4.9	4.7	4.6	4.5	4.3	4.2	4.1	4.1	4	3.9	3.9	3.8	3.7	3.7	3.6	3.5	3.4	3.3	3.2
Angola	AGO	Africa	125.3	122.6	119.3	115.5	111.3	106.6	101.8	96.7	91.5	86.4	81.3	76.4	71.9	67.8	64.1	60.9	58.2	55.8	53.8
Antigua and Barbuda	ATG	Americas	13.8	13	12.3	11.7	11.1	10.6	10.1	9.6	9.2	8.7	8.3	7.8	7.4	7	6.6	6.2	5.9	5.6	5.4
Argentina	ARG	Americas	18.4	17.7	17	16.3	15.7	15.2	14.7	14.3	14	13.7	13.4	13	12.5	11.9	11.3	10.7	10.2	9.7	9.2
Armenia	ARM	Asia	27.8	26.5	25.2	24	22.9	21.8	20.7	19.7	18.7	17.8	16.9	16.1	15.3	14.5	13.8	13.1	12.5	11.9	11.3
Australia	AUS	Oceania	5.2	5.1	5	5	4.9	4.8	4.8	4.6	4.5	4.4	4.2	4	3.8	3.6	3.5	3.3	3.2	3.1	3
Austria	AUT	Europe	4.7	4.6	4.5	4.4	4.3	4.2	4.1	3.9	3.8	3.8	3.7	3.6	3.5	3.3	3.2	3.1	3	3	2.9
Azerbaijan	AZE	Asia	64.9	61.1	57.3	53.6	50.2	47.1	44.2	41.6	39.2	36.8	34.7	32.6	30.6	28.6	26.8	25.1	23.4	21.9	20.5
Bahamas	BHS	Americas	13.3	13.1	13	12.9	12.8	12.6	12.4	11.9	11.4	10.8	10.1	9.4	8.7	8.1	7.5	6.9	6.4	6.1	5.8
Bahrain	BHR	Asia	11.3	10.7	10.3	10	9.7	9.4	9.1	8.8	8.4	8	7.6	7.3	7	6.8	6.7	6.6	6.5	6.4	6.3
Bangladesh	BGD	Asia	67.1	64	61	58.2	55.5	53	50.4	48	45.6	43.3	41.1	38.9	36.9	35	33.2	31.5	29.8	28.3	26.9
Barbados	BRB	Americas	13.5	13.8	14	14.2	14.4	14.4	14.4	14.2	14	13.8	13.6	13.4	13.1	12.9	12.7	12.4	12.1	11.9	11.5
Belarus	BLR	Europe	10.7	9.9	9.2	8.4	7.7	7.1	6.5	6	5.5	5	4.6	4.2	3.9	3.6	3.4	3.2	3.1	2.9	2.8
Belgium	BEL	Europe	5	4.9	4.7	4.5	4.3	4.3	4.1	4	3.9	3.8	3.7	3.7	3.6	3.5	3.4	3.3	3.2	3.1	3.1
Belize	BLZ	Americas	20.8	20.1	19.5	18.9	18.5	18.2	17.9	17.6	17.3	17	16.7	16.3	15.8	15.3	14.7	14.1	13.4	12.8	12.2
Benin	BEN	Africa	90.4	88.6	86.5	84.3	82	79.9	77.9	76.3	74.9	73.9	72.9	72.1	71.3	70.4	69.3	68	66.6	65.1	63.5
Bhutan	BTN	Asia	60.6	57.8	55.1	52.5	49.9	47.4	44.9	42.5	40.3	38.1	36.1	34.2	32.5	31.1	29.8	28.6	27.6	26.5	25.6
Bolivia (Plurinational State of)	BOL	Americas	61.1	58.4	55.8	53.2	50.7	48.3	46	43.8	41.6	39.6	37.8	36.1	34.7	33.4	32.2	31.1	30	29	28
Bosnia and Herzegovina	BIH	Europe	9	8.7	8.3	8.1	8	7.9	7.8	7.5	7.2	6.9	6.5	6.2	5.9	5.7	5.5	5.4	5.2	5.1	4.9
Botswana	BWA	Africa	50.3	50	49.3	48.4	47.4	46.1	42.5	41.1	41.8	41.5	40.3	38.5	38.9	36.8	34.8	34.4	33.1	32.3	30.8
Brazil	BRA	Americas	32.3	30.4	28.6	26.8	25.2	23.6	22.1	20.8	19.5	18.5	17.5	16.7	16	15.4	14.9	14.5	14	14.6	13.2
Brunei Darussalam	BRN	Asia	9.5	9.6	9.6	9.6	9.6	9.5	9.5	9.4	9.2	9.1	9	8.9	8.9	8.9	8.9	9	9	9	9
Bulgaria	BGR	Europe	14.9	14.4	13.8	13.1	12.5	11.7	11	10.4	9.9	9.6	9.3	9	8.7	8.3	7.8	7.4	7	6.7	6.3
Burkina Faso	BFA	Africa	92.9	91.5	90	88.3	86.3	83.9	81.2	78.2	75	71.9	68.9	66	63.2	60.6	58.2	56.1	54.3	52.6	51.2
Burundi	BDI	Africa	98.8	95.9	92.8	89.6	86.3	82.6	78.7	74.6	70.5	66.4	62.6	59.2	56.1	53.1	50.5	48	45.9	44.1	42.5
Cambodia	KHM	Asia	83.6	79.6	73.9	67.7	62.1	57.3	53.3	49.8	46.7	43.6	40.6	37.8	35.1	32.6	30.6	28.9	27.5	26.3	25.1
Cameroon	CMR	Africa	92.9	91.6	89.8	87.7	85.5	83.3	81.2	79	76.8	74.2	71.9	69.1	66.8	64.4	62.1	60.3	58.2	56.6	55.1
Canada	CAN	Americas	5.3	5.3	5.2	5.2	5.2	5.2	5.2	5.2	5.1	5	5	4.9	4.8	4.8	4.8	4.7	4.7	4.6	4.5
Cabo Verde	CPV	Africa	32.4	29.2	26.5	24.5	23.2	22.5	22.2	22.1	22.1	21.9	21.7	21.2	20.6	19.8	18.9	17.9	16.9	15.9	15
Central African Republic	CAF	Africa	113.6	113	112.2	111.4	110.6	109.7	108.8	107.6	106.6	105.3	103.6	101.9	99.9	98	96.3	93.9	91.6	89.2	87.6
Chad	TCD	Africa	102.3	100.9	99.4	98	96.6	95.1	93.6	92.1	90.4	88.7	87	85.2	83.4	81.7	80.1	78.4	76.7	75	73.4
Chile	CHL	Americas	9.8	9.2	8.7	8.3	8.1	7.9	7.8	7.7	7.7	7.7	7.7	7.5	7.2	7.2	7.1	6.9	6.7	6.6	6.3
China	CHN	Asia	31.8	30.1	28.2	26.2	24.1	22.2	20.3	18.6	17.1	15.8	14.6	13.6	12.6	11.6	10.8	10	9.2	8.6	8
Colombia	COL	Americas	21.8	21.2	20.6	20	19.5	19	18.4	17.9	17.4	16.9	16.4	15.9	15.4	14.9	14.4	14	13.5	13.1	12.7
Comoros	COM	Africa	73.1	72.7	72.4	72.3	72	71.4	70.3	69	67.5	65.9	64.3	62.6	60.9	59.5	57.9	56.4	54.9	53.6	52.2
Congo	COG	Africa	72.8	72.5	71.2	68.8	65.6	62	58.1	54.4	51	48	45.6	43.6	42	40.5	39.2	38	36.9	35.8	34.7
